"pm25","pm10","no2","so2","co","o3","temperature","humidity","windSpeed","aqi"
52.1,76.1,6.5,19,2.17,158.9,42.6,24,8.9,298
36.6,70.4,11.6,27.2,1.25,67.1,21.9,51,25.6,135
19.7,50.4,92.9,4.6,2.91,84.8,29.2,22,31.7,220
25.4,51.5,36.1,27.9,1.58,58.3,13.8,16,21.5,112
3.8,16.7,24.2,6.3,0.74,111.9,39.4,47,22.5,194
5.9,25.8,32.9,1.5,0.95,118.3,42.1,59,32.9,215
10.9,30,50.2,1,0.95,83.9,28.3,54,29.9,149
68.9,122.8,56.4,27.3,3.06,97.5,31.4,64,20.7,174
29.2,61.2,44,7.8,2.19,36.2,7.6,44,28.9,94
75.5,125.6,57.4,9.1,3.43,64.6,14.8,98,4.9,129
20.5,46.2,32.9,0.3,1.37,76.9,25.4,87,27,144
9.8,26.9,14.3,10.7,0.57,80.4,25.6,11,22.2,140
45.1,85,89.7,47,2.5,139.3,35.5,62,6,261
175.6,220.4,28.1,0.5,5.28,75.9,15.7,24,3.7,251
104.3,184.7,70.1,6.1,5.2,118.1,32.5,51,16.8,223
39.5,57.2,94,4.3,3.07,73.5,27.3,67,27.5,214
23,48.3,6.9,1.7,0.68,72.9,22.2,35,25.9,131
18.8,35.4,23.2,0.7,0.76,121.5,39.4,20,28.8,221
12.2,26.7,29.8,0.6,1.1,39.6,9.5,19,6.8,54
22.5,56.1,48.9,12.7,1.24,50.7,17.7,97,33.1,114
108,192,33.8,16.2,3.86,116.2,34.6,12,11,217
173.1,283.3,13.6,4.1,5.06,95.4,26.9,91,6.1,272
87.4,161.3,5.7,10.5,2.81,46.4,12.2,63,25.5,134
76.2,104.2,21.9,22.6,1.97,113.2,32.3,70,12,213
27.1,43.6,32.7,2.8,1.81,36,9.2,56,27.5,57
114.6,142.3,12.5,16.6,4.17,55.4,16.5,32,14.4,166
162.4,303.6,74.1,1.7,7.7,111,34,92,24.1,261
19.6,37.6,48.3,3.9,1.17,34.5,6.8,62,27.4,126
52.1,90,76.2,18.6,2.33,46,9.4,65,7.4,156
46.7,62.5,59.4,1.8,2.53,111.5,21.7,58,2,189
19.1,36,62.9,12.2,2.33,108.3,28.9,81,5.6,196
81.6,142.9,55.2,27.3,3.46,45,12.9,79,24.1,113
13.8,33.6,31.7,3.1,1.26,74.2,25,56,32.8,138
60.3,89,25.1,4.9,2.96,113.1,38,37,19.7,215
13.2,36.1,48.3,9.6,1.67,25.2,8.7,29,21.5,97
6.1,21.8,23.8,6.9,0.53,85.5,23.8,50,7.7,150
9.5,29,52.2,4.3,1.05,126.4,40.2,65,19.2,223
72.5,137.4,26.8,7.6,2.07,85.9,22.4,69,7.1,160
46.6,95.2,16,7.4,1.44,68.3,16.1,67,16.4,110
121.5,141.8,25.4,0.6,5.27,30.3,7.3,75,11.8,171
52.3,77.1,64.5,2.4,3.65,161.5,40.4,29,4.9,289
147.9,210.3,41.9,39.8,3.81,44.3,10.9,45,7.3,207
24.1,46.2,67.5,2.9,1.67,52.6,17.7,54,25.8,149
44.4,61.8,22.9,0.7,1.61,100.4,32.2,38,15,187
11.1,22.9,19.5,2.5,0.73,67.6,16.3,98,15.1,146
6.3,17.5,80.5,0.8,2.17,67.3,22,84,17.3,192
14.3,36.1,46,2.9,1.08,76.1,24.5,22,15.5,132
64.9,104.2,24.5,16.4,2.43,62.7,14.7,52,5.6,111
48,79.9,54.8,3.7,1.96,63.4,19.4,94,29,123
7.3,25,21.3,9.2,0.67,31.7,7.8,23,21.1,54
20.1,43,55.6,26.4,1.71,53.8,19.4,47,28,127
48.4,84.5,24.3,9.2,2.4,121.7,44.3,17,27.1,235
22,52.5,43.3,6.1,1.78,35.2,12.6,94,32.2,112
22.8,58.4,20.5,16.7,1.23,108.6,39.9,84,30.3,205
257.8,305.4,30.9,19.7,5.88,39,9.5,28,11.8,387
86.5,148.5,2.6,12.9,2,55.4,12.8,66,9.8,133
72.3,123.8,6,25.1,1.78,96.3,34.2,53,26.2,188
36.2,58.8,16.2,9.6,1.47,42.6,15.8,67,26.4,85
21.2,45.1,6.5,2.6,0.62,39.9,13.4,66,32.2,78
63.8,129.5,5.2,18.3,1.67,77.9,28.3,90,28,151
91.4,131.5,80.5,3.8,4.29,42.6,8.4,51,5.5,179
13.3,34.9,68.9,3.9,2.05,88.1,23.9,92,10.8,179
57.1,101.7,53.3,19.9,2.95,74.9,17.2,77,7.6,136
83.2,131.4,50.4,5.2,3.62,122.2,40.6,78,27.7,226
90.8,117.6,4.9,1.8,2.32,58.8,13.5,49,5.4,131
98.1,141.6,53.6,5.7,4.02,105.6,25.8,13,5.4,183
101.2,184.3,17,13.6,3.83,32.1,5.6,90,3.5,149
30.6,40.5,99.3,10.3,2.08,117,26.1,41,2.8,219
16.3,29.6,12.8,4.5,0.72,79.4,20.4,61,19.1,159
102.6,164.1,31.2,21.6,4.17,31.9,5.1,13,4.8,138
5.9,24.6,23.8,1.3,0.66,79.9,27.7,78,26.3,154
13.5,26.7,59.1,2.1,1.7,76.5,22.9,89,25.9,149
70.7,119.3,9.4,0.8,1.62,79.6,29.6,21,31.1,148
50,81.1,28.8,4.5,1.53,32.1,7,32,18.6,69
12.7,34.4,72.6,3,1.37,91.2,31.1,33,30,152
24.1,40.6,55.5,23.9,1.54,64.8,17.9,11,16.1,119
62.3,86.3,15,3.7,1.86,41.2,11.3,88,6.4,110
59.4,85.8,16.4,0.4,1.84,51,13.5,47,16,77
48.4,92.6,37.8,1.9,2.46,60,19.9,73,33.9,109
51.7,85.5,60.8,36,3.15,104.6,31.9,39,17.5,184
58.1,110.7,37.5,8.2,2.92,53.2,11.3,50,9.6,83
221.1,358.8,99.9,20.9,6.34,82.7,21.2,83,9.8,327
104.6,162.2,53.3,1,4.81,57.9,15.5,51,19.4,151
55.2,114.9,31,10.1,1.73,56.3,19,41,23.1,92
102.1,131.8,18.3,3.8,2.44,42.1,9.5,80,12.4,151
120.5,172.3,96.3,16.1,6.08,85.7,16.7,98,3.1,217
75.8,114.2,97.4,0.9,3.95,46.4,10.3,47,16.3,202
13,35.7,9.9,11.1,0.59,75,23.3,71,29.5,148
159.6,236.5,12.1,8,3.96,108.6,34.4,58,20.5,235
33.9,58.9,47.7,0.6,1.81,41,7.2,22,13,106
29.8,64.5,69.1,3.1,2.65,57,20.7,14,19.6,154
46.4,71.4,26.2,2.9,2.04,106.3,38.7,13,31.4,204
119.7,159.4,11.5,38.1,4.48,65.9,20.9,97,17.7,185
184.9,262.8,92.7,9.6,6.96,84.6,23.3,41,6.8,279
32.7,60.7,28.2,0.5,1.9,130.6,43.3,80,19.5,241
110.7,197.1,27.2,3.3,2.79,107.2,36,30,33.7,200
20.9,45.6,7,11.8,0.9,85.7,24.1,82,11.7,154
37.5,80.2,33.1,23.4,1.37,117.1,44.4,42,28.9,223
112.2,178.9,77.2,3.8,3.81,59.2,16.8,13,11.4,154
158.1,284.8,6.2,24.6,5.41,45.6,12.3,68,7.3,229
110.4,194.1,89.4,1.6,5.67,163.7,35.9,54,2.6,292
17.3,34.8,49.3,0.2,1.16,145.6,39.8,34,9.4,275
41.3,59.1,50.4,14.8,2.43,66.1,17.5,41,12.9,135
60.9,106.3,55.8,32.2,3.7,157.9,41.6,16,6.4,285
31,47.5,18.1,19.1,1.41,135.4,41.6,18,11.3,252
280,369.6,31.6,19.8,11.37,190.8,37.3,95,1.6,431
19.2,41.8,31,2.5,1.42,56.9,19.1,79,34.9,108
32,58.1,18.5,31.3,0.99,97.2,32,96,28.3,187
8.5,18.3,29.4,6.7,1.06,60.9,15.8,90,3.9,118
54.7,102.2,15.8,16.3,2.37,122.9,43.3,99,30.6,227
17.4,30.6,31.1,14.4,1.48,40.9,9.9,36,19.9,73
24.8,49.7,22.5,5,1.23,73.1,17.9,80,15.3,133
236.8,315.3,106.5,13.6,8.3,129.7,30.2,47,3.3,361
5.7,24.7,49,7.8,1.22,46.8,14.7,44,20.1,101
183.5,212.5,14.3,27.6,6.23,187.5,42.1,96,3.4,349
168.6,241.9,55.9,4.8,6.29,98.6,28.7,56,8.2,248
7.7,26,50.1,42,1.56,65.8,19.4,14,19.7,168
34.1,52.7,45.9,8.4,2.11,93.8,29.3,22,17.4,171
13.8,27.7,90.9,10.3,2.51,105.4,29.1,79,6.4,205
150.3,238.5,69.9,20.4,5.36,149.4,40.2,84,6.1,287
126.1,204.3,2.8,18.5,3.04,108.5,30.2,44,18,210
51.3,74.2,4.3,7.5,1.41,112.3,39.6,14,33,214
126.1,191.1,19.8,1.8,4.11,135,41.9,51,12.4,258
36.9,50.4,16.7,1.1,1.84,98.5,27.8,19,7.4,172
102.8,183.2,34.6,12.7,3.56,120.9,34.9,34,10.2,236
79.7,114.7,79.2,2,3.24,68.3,20.7,94,19,181
102.6,164.1,91.6,52,4.73,61.3,10.7,88,1.7,217
23.8,49.7,36.4,13.9,1.22,115.6,42.8,100,28.2,239
187,216.8,34.4,11.3,5.66,71,14.7,22,4.8,267
51.7,70.7,25.7,30.1,1.61,34.3,5.9,59,19.4,127
21.3,41.1,24.3,37.2,1.34,46.2,14.1,85,20.4,149
18.2,48.1,39.7,6.9,1.43,54.3,14.5,97,22,117
110.3,155.4,63,0.3,5,78.5,27.3,93,25.3,174
56.2,91.3,11.6,16.9,1.65,128.6,31.5,24,5.2,224
64.8,75.6,23.5,6,2.22,77.8,24.9,15,11.6,134
13.3,37.1,26,10,0.94,34.1,9.6,85,33.2,64
74.1,96,14.5,3.1,2.66,101.3,30.7,22,18,199
35.1,53.8,48.9,27.8,2.18,118.4,30.1,45,5.6,209
50.2,103.3,21.6,0.5,2.38,55.7,15.2,75,30.6,94
191.5,230.7,20.3,1.8,7.97,55,14.4,15,8,285
5.7,24.5,28.8,35.1,0.95,66.4,19.1,25,32.5,138
69.1,125.5,24.4,2.9,1.94,56.3,17.3,44,31.1,95
69.7,109.4,120,3.7,3.22,141.7,35.8,32,5.6,262
27.1,63.8,9,7.5,1.22,48.6,14.1,48,27.7,87
49.9,77.8,16.9,8.1,1.71,74.3,23.4,40,16.4,144
139.1,190.8,21.3,1,4.74,151.7,38.5,22,5.6,278
29.6,56.9,15.7,11.7,0.86,50.2,15.3,43,31.1,85
57.3,104.3,51.2,5.2,2.1,88.8,23.4,64,12.4,160
45.5,76.4,54.1,44.1,1.81,130.8,38.4,78,11.9,250
80.5,121.7,36.3,13.5,4.03,66.9,18.2,59,14.7,129
18.2,38.3,38.1,8.9,1.43,87.7,25.2,35,17.3,157
112.1,181.4,30.1,6.9,4.96,119.7,35.9,94,13.5,223
50.4,81.3,18.3,6.1,1.79,50.1,12.2,58,16.8,88
55.7,101,69.3,29.2,3.41,195.2,44.7,88,2.7,363
280,400,120,6.7,13.06,156.5,43.3,79,7.4,428
33.8,59.2,18.8,6,1.78,81.6,25.7,73,34.4,159
20.9,42.7,8.1,16.4,0.79,33,9.9,16,12.2,45
54.3,91.4,47.5,2.8,2.78,102.1,27.5,79,6.8,193
39.5,62.1,48.7,0.2,1.69,29,6.5,32,17.6,101
199.1,319.1,63.4,80,6.74,200,43.2,21,1.6,358
55.6,99.8,43.1,7,3.28,27.6,5.5,82,12.5,96
116.5,157.8,69.2,25.9,5.86,136,28.1,98,2,262
91.4,175.5,44.6,20.6,3.24,114.1,34.7,42,30.5,208
6.3,25.7,80.4,13.7,2.23,29.6,12.5,18,25.9,173
44.1,71.7,71.8,2.3,3.09,56.1,16.9,11,11.7,152
18.8,42.3,44.2,6.5,1.04,78.9,22.9,50,14.1,153
80.2,118.9,40.9,2.1,2.63,79.8,20.7,28,12.3,157
33.1,63.5,14.8,16.6,1.4,128,31.3,15,4.1,225
75.3,135.2,28.7,11.5,2.36,93.7,29.6,81,26.7,178
28.9,60.2,18.1,9.5,1.49,104.5,34.2,38,21.5,182
32.1,41,120,10.3,4.15,78.7,17.8,40,5.9,271
214.3,292.5,34.2,16.5,7.99,58.9,10.8,99,2.1,333
64.2,114,43.9,3.9,2.99,30,7.2,41,17.4,93
105.5,185,76.9,13.4,4.38,136.8,43.2,72,16.1,252
32.3,57.9,41.6,14.3,2.05,13,6,50,3.1,94
50.6,103.1,59.4,14.9,2.36,142.1,41.8,43,12.1,267
55.7,100.7,74.6,8.8,4,63.5,19.7,79,30.9,163
14.6,34.5,27.3,6.8,0.91,86.4,32.9,80,32.6,160
52.1,85.2,12.9,1.4,1.92,85.9,27.8,38,14.3,154
48.5,93.7,15.3,10.6,1.84,56.9,16.4,33,6.4,85
4.2,12.9,15.8,16.6,0.46,28.8,5.5,71,11.9,71
25.4,39.7,101.3,0.5,2.58,76.3,21.9,75,11.4,222
77.5,106.1,58.4,8,4.08,115.7,29.6,75,4.7,220
54.4,84.8,17.1,3.6,2.02,17.2,5.2,49,34.3,78
72.6,124.7,8.7,15.8,2.87,103.6,31.5,24,17.9,172
155.8,235.9,74.2,35.4,6.99,45.7,9.6,20,4.2,220
49.7,67.2,54,2.3,2.81,147,41.1,53,8.2,275
51.5,78.1,24.2,6.4,2.36,39.2,9,94,32.6,85
15.1,31.6,54.5,4.2,1.55,100.7,27.6,37,11.1,179
40.8,79.2,52.1,1.7,2.19,56.3,15.1,51,23.2,109
19.3,40.3,72.9,12.2,2.42,76.8,28.2,70,31.6,173
5.1,25.8,3.3,2.4,0.18,117.6,43.1,47,34.7,225
6.1,18.6,26.5,2.6,0.9,103.8,34.1,16,15.6,197
153.9,203.9,120,21.4,6.88,65.7,21.2,19,14.4,260
51.9,82.6,13.4,14.9,1.59,104.3,24.7,94,5.8,203
56.5,77.5,94.7,26.5,3.67,106.2,31.9,95,10.5,200
37.5,80.3,36.5,4.2,1.87,73.1,23.7,92,20.2,137
96.7,183.6,47.5,1.4,2.74,50,16.8,23,32.8,150
41.2,67.5,18,18.8,1.14,90.3,26.8,28,13.2,172
39.4,62.1,45.1,3.1,1.5,102.5,34.4,70,29.6,200
79.3,104.2,39.1,10.2,4.11,107.1,35.9,33,25.6,197
13.7,40.5,39.8,2.8,1.13,117.4,37.6,85,26.5,230
29.9,57.1,29,13.1,1.44,54.1,18.3,26,32.4,79
157.5,199.9,115,6.1,5.82,200,40.6,95,1.1,380
56.5,77.3,24,10.6,1.78,72.1,17.3,50,6.5,139
71.9,106.8,28.7,25.1,2.43,111.6,33,88,14.6,204
57.8,108.7,29,4.3,2.11,48.1,12.7,38,24,82
62.6,98.6,57.6,12.8,2.57,133.8,44.1,89,17.3,252
105.3,128.3,10.7,12.1,3.94,43.9,11.8,59,19.2,159
21.9,47.4,82,34.2,1.63,48.9,11.8,67,11.8,188
34,62.7,24.5,17.8,1.95,80.6,30.1,13,28.7,142
36.2,49.1,24.4,7,1.47,118.7,34.4,47,10.9,218
20.3,45.9,33.2,0.2,1.63,131.7,42.6,61,14.9,246
179.2,299.2,40.1,20.8,5.56,147.6,35.7,23,4.1,272
21.3,48.8,21.2,2,1.19,39.6,11.7,56,28.2,59
15.2,36.8,46,6.3,1.27,62.1,16.2,61,13.2,100
144.2,227.5,33.4,35.1,3.76,95.4,22,15,2.4,216
66.1,93.8,64.2,11.3,2.73,174.6,38.5,74,2.4,330
10.8,36.8,44.6,1.7,1.43,41.4,11.1,65,33.5,94
104.6,133,81.9,3.5,5.97,109.5,31.6,24,13.7,198
8.1,31.3,53,7.4,1.01,109.6,37.7,57,28.4,209
21.3,55.7,16.4,8.1,0.87,89.5,31.9,81,31.9,186
157.1,255.5,33.5,22,5.66,67.4,20,47,16,251
18.4,38.4,53.3,6.7,1.37,122.3,40.4,38,20.6,236
81.4,118.8,100.7,5.8,3.69,113.5,27.8,55,3.5,219
52.2,69.6,66.4,21,2.96,93.3,23.8,68,6.6,182
81.9,155,19.3,8.3,3.24,96.4,30.4,68,26.2,187
19.4,34.7,23.7,11.4,1.09,117.8,34.6,55,17.2,240
82.5,163.4,20.8,0.9,3.41,35.5,10.8,67,24.3,125
44.9,79.1,17.2,19.2,1.85,64.3,21.3,43,33.4,111
34.4,55,27.8,37.4,1.3,74.1,23.3,40,17.9,167
7,20.4,31,0.9,0.6,86.4,27.3,14,17,147
55,106.9,25.2,9,2.68,75.2,21.4,89,20,131
33.6,74.8,20.9,6.2,1.69,135.8,44.9,57,23.2,262
16.2,29.3,94,7.7,1.68,112.6,35,54,10.5,218
49.9,94,40.9,1.5,2.24,37.8,12.5,22,34.3,76
42.9,82.9,48.2,11,1.77,35,9.3,50,22.9,109
15.4,30.6,34.2,21.2,1.2,100.1,34.8,30,20.8,177
4.9,19.1,78,2.7,1.95,44.8,9.6,84,21.9,176
76.8,145.3,43.1,6.5,2.88,112,44.9,82,32.5,211
72.4,114.3,69.2,2.5,4.28,117,36.1,86,14.3,203
179.8,227.4,34.6,1.2,5.45,79,21.3,97,10.8,276
167,228.1,29.7,8,4.93,73.3,16.1,32,4.1,237
19.2,36.2,15.9,15.6,0.97,150.5,43.3,82,11.9,277
26.4,63,31.6,6.6,1.53,50.1,15.2,24,26.8,86
53.2,95.6,9.5,17.2,1.91,42.4,9.8,36,4.6,73
47.1,68.7,30.6,9,1.45,77.4,26.8,32,25.1,135
14.6,32.1,14.9,11,0.72,87.1,31.9,64,33.9,150
27.1,46.4,59.9,1.8,2.07,81.1,20,21,7.9,146
94.9,147.7,78.9,1.2,5.01,51.2,10.9,66,4.7,175
14.9,26.8,45,1.4,1.07,200,43.8,13,2.9,361
38.8,67.6,24.2,5.1,2.02,31.4,7.8,66,29.2,65
45.5,81.1,45.9,6.6,2.17,91,29.1,66,20.8,170
40.2,68.1,8.1,9.5,1.1,47.3,12.8,54,17,79
7.6,14.5,13.3,7.5,0.39,98.2,27.6,50,13.4,187
103.6,161.2,109.9,3.3,4.76,45.9,10.9,21,10.5,241
18.7,35.6,14.6,1.3,0.85,108.1,38,77,21.4,210
45,79.2,11.8,7.9,1.53,58.2,18.2,74,28.8,106
157.1,265.8,34.9,10.7,5.55,96.5,24,55,4.3,240
35.1,80,33.4,14.8,1.31,34.9,12.6,35,33.8,65
94.4,150.4,29.4,26.7,3.94,91.7,25.8,69,6.7,173
165.1,276.6,17.8,2.5,6.32,100.7,24.8,21,3.9,242
90.6,142.2,16.1,15.3,3.27,39.1,10.7,38,30.3,124
18.9,42.5,88.1,3.6,2.3,111.7,35.1,66,18.8,195
45.9,82.4,24.7,12.7,1.45,22.4,5.4,25,23.3,66
35.8,68,53.8,3.9,1.66,51.3,12.1,50,8.8,116
48.3,75.4,23.1,0.2,2.17,37.4,9.5,80,25.5,71
73.4,138,43.5,5.1,3.22,85.4,26.5,40,17.7,155
34.3,65.6,9.7,11.6,1.59,82.2,26.8,80,33.8,145
19.4,44.7,67.3,2.6,1.82,29.5,5.8,21,31.8,149
45.3,61.4,48.7,3.3,1.79,37.1,11,14,19.7,103
30.1,60.1,15.1,19.6,1.07,121.6,27.3,39,3.6,224
84.6,156,24.4,20.3,2.43,172.2,35.2,83,1.8,328
